Class,H3K27ac,H3K4me1,H3K4me3,H3K9me3,Brd4,Cdk8,Cdk9,Med12,p300,CBP,Pol2,Lsd1,Brg1,Smc1,Nipbl,Mi2b,CHD7,HDAC2,HDAC,DNaseI,Oct4,Sox2,Nanog,Smad3,Stat3,Tcf3,Esrrb,Klf4,Prdm14,Tcfcp2I1,Nr5a2,AT_content,GC_content,phastCons,phastConsP,repeat_fraction,length
SE,0.3849,0.7519,0.5018,0,0.4058,0.6055,1.1151,0.6745,0.3109,0.7515,0.003,1.3576,0.9114,0.0882,0.3099,0.6433,1.0337,0.5297,0.6883,0.2755,1.1949,0.846,1.3055,0.4854,0,0.4262,1.492,0.501,0.9716,0.3284,0,0.536585,0.463415,0.036607,0.031935,0,697
SE,1.0997,0.6611,0.9509,0,0.9245,0.8191,0.6599,0.9819,2.008,1.5956,0.2082,1.745,1.0909,0.8314,0.5257,0.9953,1.3626,0.8662,0.6351,1.6104,0.6586,0.9288,0.5684,0.4537,0.293,0.4808,4.8384,0.6378,4.5777,0.0329,0.2085,0.487153,0.512847,0.21601,0.21601,0.115108,973
SE,3.0137,0.0612,0.4924,0,6.6926,10.8919,3.268,17.0901,15.3999,20.1205,5.8476,5.3044,1.9242,1.2593,2.8853,1.2641,2.7157,1.4403,0.5435,4.6467,4.848,3.091,6.5893,22.3446,0.829,2.2257,3.196,2.8789,3.0775,0.2808,0.1841,0.465517,0.534483,0.091984,0.103149,0,870
SE,2.2307,1.3482,0.1195,0,5.3527,5.1666,1.7654,10.8535,13.84,13.6146,3.751,4.6846,0.5025,1.0342,2.0902,1.3715,2.4953,1.4221,0.3393,2.5416,3.8243,5.8696,11.3848,15.763,0.1326,1.7515,3.2559,0.8694,1.0607,0.9908,0.4425,0.475621,0.524379,0.151265,0.151265,0,1087
SE,1.2491,1.2223,0.5711,0,2.511,1.554,1.3018,4.0008,8.0084,3.0105,1.0804,1.7295,0.9027,0.2915,0.8899,0.5769,1.6567,0.5953,0,0.7055,4.3591,1.6965,0.6256,5.0044,0,1.6593,1.0042,0,0.0737,0.3256,0.0912,0.485337,0.514663,0.062814,0.062814,0,682
SE,0.8268,0,6.1696,0.2548,0.9305,1.204,0.6729,0.849,0.2925,0.2168,2.5298,0.6726,0,0.2043,0.2704,0.9496,0.7368,0.4366,0.3918,0.4811,1.2163,0.7116,1.7932,0.1515,0.1575,0.7968,0.067,0.1599,0.3154,0.2521,0.2249,0.61227,0.38773,0.621699,0.599132,0,815
SE,2.1362,0.334,0.5068,0,4.9254,4.1899,1.8772,5.9233,6.8117,6.0486,3.1951,2.6601,1.4312,0.8316,0.9004,1.415,1.6865,1.5147,0.8035,3.3499,3.5018,5.0896,6.1363,2.5326,0.5652,0.9855,3.865,1.0175,2.5796,0.3607,0.3793,0.52911,0.47089,0.099654,0.099655,0.496575,1168
SE,2.9525,0.5941,0.19,0.1848,2.2762,2.0666,1.1746,2.6729,0.9284,2.6601,1.7004,1.2107,0.662,0.1751,0.1819,0.6007,0.6522,0.8929,0.2209,1.3605,0.9788,0.8653,2.8868,1.5298,0.4293,0.1784,0.8989,1.169,1.3783,0.5283,0,0.562102,0.437898,0.170073,0.092756,0.425159,628
SE,1.1933,0.6856,0.4785,0.0175,4.8133,2.1318,1.6071,3.052,1.6065,3.3427,2.6906,1.7229,0.752,0.6204,0.696,1.563,2.4692,1.2697,0.6653,0.6233,2.69,1.6599,2.5674,2.0208,0,12.4302,1.3126,0,2.5981,0.2738,0.2194,0.570552,0.429448,0.046945,0.046945,0,815
SE,1.915,1.7987,0.976,0.0956,6.7247,3.3649,2.2451,4.5951,4.5385,3.0895,3.2179,2.24,1.7856,0.7836,0.9274,2.0289,3.7498,1.3354,1.0535,2.829,3.0396,2.6174,3.2464,2.9378,0.1825,2.6422,1.0924,0.6369,3.1212,1.1311,0.2131,0.562761,0.437238,0.034144,0.034151,0.056485,1434
